time_step,unique_cells_visited,revisits,reward,total_reward
1,1,0,-1.0,-1.0
2,1,0,-1.0,-2.0
3,1,0,-1.0,-3.0
4,1,0,-1.0,-4.0
5,1,0,-1.0,-5.0
6,1,0,-1.0,-6.0
7,2,0,1.0,-5.0
8,2,0,-1.0,-6.0
9,3,0,1.0,-5.0
10,3,0,-1.0,-6.0
11,4,0,1.0,-5.0
12,5,0,1.0,-4.0
13,5,1,-0.5,-4.5

14,5,2,-0.5,-5.0
15,6,2,1.0,-4.0
16,7,2,1.0,-3.0
17,8,2,1.0,-2.0
18,8,3,-0.5,-2.5
19,8,4,-0.5,-3.0
20,8,5,-0.5,-3.5
21,9,5,1.0,-2.5
22,10,5,1.0,-1.5
23,11,5,1.0,-0.5
24,12,5,1.0,0.5
25,12,6,-0.5,0.0
26,12,7,-0.5,-0.5
27,12,8,-0.5,-1.0
28,13,8,1.0,0.0
29,14,8,1.0,1.0
30,14,8,-1.0,0.0
31,14,9,-0.5,-0.5
32,14,10,-0.5,-1.0
33,14,11,-0.5,-1.5
34,14,12,-0.5,-2.0
35,14,13,-0.5,-2.5
36,14,14,-0.5,-3.0
37,14,15,-0.5,-3.5
38,14,16,-0.5,-4.0
39,14,16,-1.0,-5.0
40,15,16,1.0,-4.0
41,16,16,1.0,-3.0
42,16,16,-1.0,-4.0
43,16,17,-0.5,-4.5
44,16,17,-1.0,-5.5
45,16,18,-0.5,-6.0
46,16,18,-1.0,-7.0
47,16,18,-1.0,-8.0
48,16,18,-1.0,-9.0
49,16,19,-0.5,-9.5
50,16,19,-1.0,-10.5
51,16,19,-1.0,-11.5
52,16,20,-0.5,-12.0
53,16,20,-1.0,-13.0
54,16,20,-1.0,-14.0
55,16,21,-0.5,-14.5
56,16,22,-0.5,-15.0
57,16,23,-0.5,-15.5
58,16,24,-0.5,-16.0
59,16,25,-0.5,-16.5
60,16,25,-1.0,-17.5
61,16,25,-1.0,-18.5
62,16,26,-0.5,-19.0
63,16,26,-1.0,-20.0
64,16,27,-0.5,-20.5
65,16,28,-0.5,-21.0
66,17,28,1.0,-20.0
67,17,29,-0.5,-20.5
68,17,30,-0.5,-21.0
69,17,31,-0.5,-21.5
70,17,32,-0.5,-22.0
71,17,33,-0.5,-22.5
72,17,34,-0.5,-23.0
73,17,35,-0.5,-23.5
74,17,36,-0.5,-24.0
75,17,37,-0.5,-24.5
76,17,37,-1.0,-25.5
77,17,38,-0.5,-26.0
78,17,39,-0.5,-26.5
79,17,40,-0.5,-27.0
80,17,41,-0.5,-27.5
81,17,42,-0.5,-28.0
82,17,42,-1.0,-29.0
83,17,42,-1.0,-30.0
84,17,43,-0.5,-30.5
85,17,43,-1.0,-31.5
86,17,43,-1.0,-32.5
87,17,44,-0.5,-33.0
88,17,45,-0.5,-33.5
89,17,46,-0.5,-34.0
90,17,47,-0.5,-34.5
91,17,48,-0.5,-35.0
92,17,49,-0.5,-35.5
93,17,50,-0.5,-36.0
94,17,51,-0.5,-36.5
95,17,52,-0.5,-37.0
96,18,52,1.0,-36.0
97,18,53,-0.5,-36.5
98,19,53,1.0,-35.5
99,20,53,1.0,-34.5
100,20,54,-0.5,-35.0
101,20,55,-0.5,-35.5
102,20,56,-0.5,-36.0
103,20,57,-0.5,-36.5
104,20,58,-0.5,-37.0
105,20,59,-0.5,-37.5
106,20,60,-0.5,-38.0
107,20,61,-0.5,-38.5
108,20,62,-0.5,-39.0
109,20,63,-0.5,-39.5
110,20,64,-0.5,-40.0
111,20,65,-0.5,-40.5
112,20,66,-0.5,-41.0
113,20,67,-0.5,-41.5
114,21,67,1.0,-40.5
115,21,68,-0.5,-41.0
116,21,69,-0.5,-41.5
117,21,70,-0.5,-42.0
118,21,71,-0.5,-42.5
119,22,71,1.0,-41.5
120,22,72,-0.5,-42.0
121,22,73,-0.5,-42.5
122,22,74,-0.5,-43.0
123,22,75,-0.5,-43.5
124,22,76,-0.5,-44.0
125,22,77,-0.5,-44.5
126,22,78,-0.5,-45.0
127,22,79,-0.5,-45.5
128,22,80,-0.5,-46.0
129,22,81,-0.5,-46.5
130,22,82,-0.5,-47.0
131,23,82,1.0,-46.0
132,24,82,1.0,-45.0
133,25,82,1.0,-44.0
134,26,82,1.0,-43.0
135,27,82,1.0,-42.0
136,28,82,1.0,-41.0
137,28,83,-0.5,-41.5
138,29,83,1.0,-40.5
139,30,83,1.0,-39.5
140,31,83,1.0,-38.5
141,32,83,1.0,-37.5
142,33,83,1.0,-36.5
143,33,83,-1.0,-37.5
144,33,84,-0.5,-38.0
145,33,84,-1.0,-39.0
146,33,85,-0.5,-39.5
147,33,86,-0.5,-40.0
148,33,86,-1.0,-41.0
149,34,86,1.0,-40.0
150,34,87,-0.5,-40.5
151,34,88,-0.5,-41.0
152,35,88,1.0,-40.0
153,36,88,1.0,-39.0
154,37,88,1.0,-38.0
155,37,89,-0.5,-38.5
156,37,90,-0.5,-39.0
157,37,91,-0.5,-39.5
158,37,92,-0.5,-40.0
159,37,93,-0.5,-40.5
160,37,94,-0.5,-41.0
161,37,95,-0.5,-41.5
162,37,95,-1.0,-42.5
163,37,96,-0.5,-43.0
164,37,96,-1.0,-44.0
165,37,97,-0.5,-44.5
166,37,97,-1.0,-45.5
167,37,98,-0.5,-46.0
168,38,98,1.0,-45.0
169,38,98,-1.0,-46.0
170,38,98,-1.0,-47.0
171,38,99,-0.5,-47.5
172,38,100,-0.5,-48.0
173,38,100,-1.0,-49.0
174,38,100,-1.0,-50.0
175,38,101,-0.5,-50.5
176,38,102,-0.5,-51.0
177,38,103,-0.5,-51.5
178,38,104,-0.5,-52.0
179,38,105,-0.5,-52.5
180,38,106,-0.5,-53.0
181,38,107,-0.5,-53.5
182,39,107,1.0,-52.5
183,40,107,1.0,-51.5
184,41,107,1.0,-50.5
185,42,107,1.0,-49.5
186,42,107,-1.0,-50.5
187,42,107,-1.0,-51.5
188,43,107,1.0,-50.5
189,43,108,-0.5,-51.0
190,43,109,-0.5,-51.5
191,43,110,-0.5,-52.0
192,43,110,-1.0,-53.0
193,43,111,-0.5,-53.5
194,43,112,-0.5,-54.0
195,43,112,-1.0,-55.0
196,43,113,-0.5,-55.5
197,43,114,-0.5,-56.0
198,43,114,-1.0,-57.0
199,43,115,-0.5,-57.5
200,44,115,1.0,-56.5
201,45,115,1.0,-55.5
202,45,115,-1.0,-56.5
203,46,115,1.0,-55.5
204,47,115,1.0,-54.5
205,47,115,-1.0,-55.5
206,48,115,1.0,-54.5
207,49,115,1.0,-53.5
208,50,115,1.0,-52.5
209,51,115,1.0,-51.5
210,52,115,1.0,-50.5
211,52,116,-0.5,-51.0
212,52,117,-0.5,-51.5
213,52,118,-0.5,-52.0
214,52,119,-0.5,-52.5
215,53,119,1.0,-51.5
216,53,120,-0.5,-52.0
217,54,120,1.0,-51.0
218,54,120,-1.0,-52.0
219,54,121,-0.5,-52.5
220,55,121,1.0,-51.5
221,56,121,1.0,-50.5
222,56,121,-1.0,-51.5
223,56,122,-0.5,-52.0
224,56,123,-0.5,-52.5
225,56,124,-0.5,-53.0
226,56,125,-0.5,-53.5
227,56,126,-0.5,-54.0
228,56,127,-0.5,-54.5
229,56,128,-0.5,-55.0
230,57,128,1.0,-54.0
231,58,128,1.0,-53.0
232,58,129,-0.5,-53.5
